"room_type","reviews","overall_sa","bedrooms","price"
"Shared room",1,5,1,70
"Entire home/apt",1,0,1,70
"Private room",1,0,1,70
"Private room",0,0,1,70
"Private room",0,0,1,70
"Private room",0,0,1,70
"Private room",0,0,1,70
"Private room",0,0,1,70
"Private room",0,0,1,70
"Private room",3,3,1,72
"Private room",162,4.5,1,73
"Private room",119,5,1,73
"Private room",3,3.5,1,74
"Private room",3,4,1,74
"Private room",9,4.5,1,74
"Private room",2,3,1,75
"Private room",55,4,1,75
"Private room",114,4.5,1,75
"Private room",42,4.5,1,75
"Private room",34,4.5,1,75
"Private room",17,4.5,1,75
"Private room",14,4.5,1,75
"Private room",3,4.5,1,75
"Entire home/apt",1,5,1,75
"Private room",88,5,1,75
"Private room",36,5,1,75
"Private room",2,5,1,75
"Private room",1,5,1,75
"Private room",1,5,1,75
"Private room",1,5,1,75
"Private room",0,0,1,75
"Private room",0,0,1,75
"Private room",0,0,1,75
"Private room",0,0,1,75
"Entire home/apt",14,5,1,77
"Private room",0,0,1,77
"Private room",2,4,1,78
"Private room",3,4.5,1,78
"Private room",4,5,1,78
"Entire home/apt",5,4.5,1,79
"Private room",2,4.5,1,79
"Private room",2,4.5,1,79
"Private room",355,5,1,79
"Private room",43,5,1,79
"Private room",37,5,1,79
"Private room",18,5,1,79
"Private room",16,5,1,79
"Private room",1,5,1,79
"Private room",1,5,1,79
"Private room",0,0,1,79
"Private room",5,3.5,1,80
"Entire home/apt",38,4.5,2,80
"Private room",31,4.5,1,80
"Private room",28,4.5,1,80
"Private room",26,4.5,1,80
"Private room",24,4.5,1,80
"Private room",23,4.5,1,80
"Private room",20,4.5,1,80
"Private room",15,4.5,1,80
"Private room",9,4.5,1,80
